Math,Physics,Chemistry,Biology,CS,Commerce,Recommended_Stream
78,43,50,48,39,41,Arts
48,100,43,85,98,90,Arts
86,57,82,57,40,93,Commerce
60,100,42,90,73,85,Arts
48,60,38,40,100,78,Commerce
68,67,47,31,88,46,Arts
74,48,30,32,61,93,Commerce
68,62,77,41,77,63,Arts
81,39,64,87,59,49,Commerce
82,55,46,70,69,46,Commerce
32,91,43,84,47,82,Commerce
46,92,59,66,76,53,Commerce
38,59,45,44,32,96,Commerce
51,68,93,37,66,85,Arts
66,41,90,42,32,64,Commerce
97,93,47,57,85,94,Commerce
50,65,95,73,97,72,Arts
100,97,90,50,63,95,Engineering
90,59,95,62,97,47,Arts
34,66,63,62,71,33,Commerce
93,42,93,87,60,53,Arts
54,33,68,97,36,74,Commerce
42,32,92,99,43,38,Commerce
89,80,39,36,69,64,Commerce
86,91,34,71,64,36,Commerce
30,43,44,60,87,99,Arts
61,67,51,32,49,45,Arts
86,57,72,98,68,55,Arts
98,87,33,70,86,67,Arts
39,91,84,83,52,88,Arts
45,71,71,97,64,42,Commerce
43,37,50,77,70,52,Arts
93,59,42,49,55,57,Commerce
37,97,87,90,76,88,Medical
100,57,61,37,65,71,Commerce
30,98,82,87,33,98,Arts
77,35,72,57,44,65,Arts
74,84,47,46,38,74,Commerce
96,83,81,91,36,85,Engineering
100,50,72,96,57,77,Commerce
41,89,43,78,67,85,Commerce
40,79,53,68,94,77,Arts
96,57,52,96,61,88,Commerce
55,33,45,99,54,67,Commerce
83,79,95,66,79,80,Engineering
89,86,37,30,68,37,Arts
92,34,96,65,71,42,Commerce
50,37,72,41,86,89,Arts
83,35,93,37,42,56,Commerce
82,38,85,92,80,73,Arts
30,64,39,33,53,100,Commerce
37,99,37,41,55,97,Commerce
83,92,72,51,90,54,Arts
94,51,72,60,72,65,Arts
94,85,77,63,83,35,Engineering
38,69,90,47,33,32,Arts
70,81,55,43,89,71,Commerce
49,43,62,67,86,99,Commerce
87,38,64,76,65,60,Commerce
62,40,78,53,72,52,Arts
79,99,88,91,81,66,Engineering
31,43,62,77,78,62,Arts
56,36,66,88,48,90,Arts
53,88,34,40,43,33,Arts
55,93,35,71,99,40,Arts
70,39,73,88,90,42,Arts
61,65,79,69,37,75,Arts
51,93,84,64,60,61,Commerce
88,51,80,92,36,80,Commerce
89,91,76,66,91,59,Engineering
86,39,99,62,52,100,Commerce
66,98,47,46,78,37,Commerce
79,31,99,57,95,61,Arts
41,44,79,60,51,85,Arts
63,96,78,44,32,98,Commerce
81,61,91,57,62,37,Arts
33,36,76,99,95,40,Commerce
74,55,92,96,42,100,Commerce
48,43,78,67,89,96,Commerce
67,51,74,38,44,46,Commerce
90,41,96,37,75,70,Commerce
87,67,45,64,49,95,Commerce
67,62,62,55,76,36,Commerce
33,33,83,95,33,41,Commerce
36,95,78,83,73,81,Arts
36,89,57,54,87,80,Commerce
44,30,35,53,79,67,Arts
44,84,96,77,42,35,Arts
42,34,37,79,60,71,Commerce
41,46,77,82,61,34,Commerce
58,32,55,88,61,65,Commerce
54,46,66,75,52,38,Commerce
83,62,72,70,86,96,Commerce
45,97,93,70,87,87,Arts
60,100,94,100,59,43,Medical
96,100,44,71,80,80,Commerce
60,60,33,54,88,56,Commerce
37,55,78,69,55,76,Arts
90,93,83,73,38,35,Engineering
43,60,88,34,49,70,Arts
53,79,82,73,77,56,Arts
87,53,71,52,45,49,Arts
49,75,85,84,86,68,Arts
65,67,78,92,52,38,Commerce
76,95,42,83,44,100,Commerce
70,65,100,53,39,36,Arts
41,48,34,89,43,62,Arts
72,31,43,30,42,34,Arts
73,61,58,73,34,71,Commerce
58,85,58,60,40,89,Arts
32,69,97,99,39,94,Medical
31,32,40,62,68,52,Commerce
89,81,95,74,61,83,Engineering
81,49,32,86,68,30,Arts
66,96,44,33,84,83,Arts
38,67,48,96,45,65,Commerce
82,62,92,30,79,56,Commerce
73,36,57,51,71,45,Arts
87,99,90,72,94,71,Engineering
76,31,35,86,33,85,Commerce
45,32,64,88,55,56,Commerce
30,91,56,72,39,54,Arts
93,97,58,85,75,38,Engineering
62,88,32,96,48,76,Arts
79,30,71,57,68,99,Commerce
38,73,45,64,83,38,Arts
46,39,99,93,50,47,Commerce
58,73,34,37,85,34,Commerce
97,65,63,99,56,71,Arts
89,58,80,61,58,66,Commerce
33,93,60,40,50,34,Commerce
42,55,52,79,76,87,Commerce
96,72,82,67,86,98,Engineering
77,67,98,91,88,45,Arts
95,51,33,91,33,58,Arts
80,42,45,90,76,91,Commerce
53,41,44,89,74,81,Arts
78,97,50,31,50,96,Commerce
87,55,58,41,76,59,Commerce
87,69,83,70,76,87,Commerce
51,37,57,32,83,47,Commerce
63,88,83,50,43,87,Commerce
64,98,98,56,46,36,Arts
86,42,78,83,46,97,Commerce
75,33,60,80,39,47,Commerce
65,95,38,86,37,93,Commerce
52,93,49,54,39,69,Commerce
55,88,73,72,59,51,Arts
50,86,68,31,50,90,Arts
96,44,95,71,37,89,Commerce
80,74,39,42,99,43,Commerce
55,38,74,38,56,77,Commerce
43,33,47,52,33,94,Arts
67,39,90,33,62,66,Commerce
71,53,64,52,66,50,Arts
45,36,73,71,62,100,Commerce
56,56,51,75,47,31,Arts
84,40,93,86,62,39,Arts
73,66,55,76,64,31,Commerce
94,51,57,61,83,79,Commerce
63,64,95,89,78,100,Commerce
88,78,31,88,71,86,Commerce
58,98,35,48,97,50,Arts
72,47,42,56,48,91,Commerce
31,57,85,38,79,73,Commerce
68,81,41,55,69,35,Arts
72,84,84,76,77,85,Commerce
60,91,36,83,50,79,Arts
96,45,48,81,63,59,Arts
80,98,31,99,80,53,Arts
66,39,62,61,49,68,Arts
84,63,40,80,74,37,Arts
38,51,77,67,93,33,Commerce
38,85,40,68,84,69,Arts
34,63,38,94,40,71,Arts
95,30,76,84,68,43,Arts
78,96,55,72,75,33,Commerce
42,76,89,81,56,79,Arts
54,74,94,38,39,63,Arts
40,58,35,64,83,38,Commerce
82,80,59,80,53,66,Arts
33,97,61,43,98,94,Arts
34,100,39,79,36,51,Commerce
63,80,70,35,68,57,Commerce
90,72,99,92,40,94,Engineering
83,34,38,44,55,62,Arts
69,67,90,71,98,88,Commerce
62,43,67,31,70,74,Commerce
31,98,40,46,52,80,Commerce
99,69,51,99,99,96,Commerce
90,81,65,53,48,69,Commerce
93,96,95,98,72,46,Engineering
70,32,39,82,93,60,Arts
30,33,59,52,70,72,Arts
96,36,88,35,74,81,Commerce
69,78,46,32,34,35,Commerce
58,55,97,35,32,57,Commerce
52,74,40,42,95,87,Arts
98,63,52,41,86,38,Arts
77,71,56,60,80,84,Commerce
36,70,54,62,52,83,Arts
62,98,76,76,52,87,Arts
89,98,92,79,59,46,Engineering
67,85,91,38,59,98,Commerce
53,53,58,90,42,32,Commerce
97,91,87,70,73,56,Engineering
96,96,49,71,85,66,Arts
51,66,77,64,51,49,Commerce
